tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,clean_text
"I Added Linkedin =) -  HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product,"i added linkedin =) - hootsuite mobile for #sxsw ~ updates for iphone, blackberry &amp; android"
Our iPad 2 giveaway for #SXSW closes today! All you need to do is sign up at {link}  to be entered automatically. (pls RT!),,No emotion toward brand or product,our ipad 2 giveaway for #sxsw closes today! all you need to do is sign up at to be entered automatically. (pls rt!)
RT@mention t's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,Positive emotion,t's not a rumor: apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch
"After failure of Google buzz, Google Latitude, now Google Circle! Seriously Google needs to concentrate more on search! #FAIL #google #sxsw",Google,Negative emotion,"after failure of google buzz, google latitude, now google circle! seriously google needs to concentrate more on search! #fail #google #sxsw"
"Ok, I'm interested. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,Positive emotion,"ok, i'm interested. rt google to launch major new social network called circles, possibly today #sxsw"
Google's @mention envisions location-based future {link} #SXSW #location,,No emotion toward brand or product,google's envisions location-based future #sxsw #location
@mention Not to shill for the iPad but don't underestimate its appeal. {link} #newsapps #sxsw,iPad,Positive emotion,not to shill for the ipad but don't underestimate its appeal. #newsapps #sxsw
Installing GeoLoqi for Android to track my #sxsw movement {link},,No emotion toward brand or product,installing geoloqi for android to track my #sxsw movement
Just ran into @mention and apparently @mention didn't tell him there's a Bizzy android app :) remedied #sxsw cc: @mention,Android App,Positive emotion,just ran into and apparently didn't tell him there's a bizzy android app :) remedied #sxsw cc:
Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw,Android,Positive emotion,heard at #sxsw #android is now the leading market share of smart phones in us. #getjarsxsw
Get a look at SXSW's rumored Apple pop-up store {link} #sxsw #apple,,No emotion toward brand or product,get a look at sxsw's rumored apple pop-up store #sxsw #apple
"&quot;Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw�۝ @mention Creo que ser��s el primero",,No emotion toward brand or product,"&quot;google to launch major new social network called circles, possibly today #sxsw�۝ creo que ser��s el primero"
"I actually have no idea what #SXSW is. I could google it, but I'm fine not knowing.",,No emotion toward brand or product,"i actually have no idea what #sxsw is. i could google it, but i'm fine not knowing."
Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,,No emotion toward brand or product,is google about to have another go at social with &quot;google circles&quot;? #sxsw #google
Good to see @mention in line at the #SXSW PopUp Apple Store.,,No emotion toward brand or product,good to see in line at the #sxsw popup apple store.
Apple will be setting up shop @mention #SXSW this year. {link} The Whole of Geekdom can now take a collective shy of relief.,,No emotion toward brand or product,apple will be setting up shop #sxsw this year. the whole of geekdom can now take a collective shy of relief.
The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive emotion,the #ipad 2 takes over #sxsw [video] /by
At #SXSW?? MindTouchers @mention @mention @mention are there giving iPad demos of MindTouch TCS! Tweet them to check it out!,,No emotion toward brand or product,at #sxsw?? mindtouchers are there giving ipad demos of mindtouch tcs! tweet them to check it out!
Who's heading to the pop-up Apple store today? Anyone know what time the sale starts? #SXSW #SXSWK,,No emotion toward brand or product,who's heading to the pop-up apple store today? anyone know what time the sale starts? #sxsw #sxswk
&quot;No other reason for Apple's continued survival than the existence of God&quot; - @mention #enchantment  #SXSW #sxswi,Apple,Negative emotion,&quot;no other reason for apple's continued survival than the existence of god&quot; - #enchantment #sxsw #sxswi
So what's the best #SXSW Mobile App (Android!) App to make the panel and party agenda. Offline use get a +,,No emotion toward brand or product,so what's the best #sxsw mobile app (android!) app to make the panel and party agenda. offline use get a +
"���@mention Gearing up to make a splash, @mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW {link} - Boom!",,No emotion toward brand or product,"��� gearing up to make a splash, to launch &quot;groupon or living social-type&quot; rewards at #sxsw - boom!"
So grateful my Twitterstream is mostly full of empathy and concern for events other than iPad 2 and #sxsw.,,No emotion toward brand or product,so grateful my twitterstream is mostly full of empathy and concern for events other than ipad 2 and #sxsw.
"#SXSW plans shaping up... Wed: playing at @mention then #MEGABLAAG fo sho
Twitter for iPhone �ۢ 3/10/11 3:39 PM",,No emotion toward brand or product,#sxsw plans shaping up... wed: playing at then #megablaag fo sho twitter for iphone �ۢ 3/10/11 3:39 pm
RT @mention D/L @mention come to the UJ* booth in ACC hall 2! Snap pics &amp; send em to us #FightThePaddle! {link} #SXSW,,No emotion toward brand or product,d/l come to the uj* booth in acc hall 2! snap pics &amp; send em to us #fightthepaddle! #sxsw
It's crazy how much culture is documented in google doodles. #sxsw,Other Google product or service,Positive emotion,it's crazy how much culture is documented in google doodles. #sxsw
"Breaking iPhone news Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues {link}",,No emotion toward brand or product,"breaking iphone news chris sacca tweets out a fake #sxsw beta invite, follower swarm ensues"
"Dear Apple, could you roll a hot dog cart full of iPad 2's down to the Austin Convention center. (And bring hot dogs?) #sxsw",iPad,Positive emotion,"dear apple, could you roll a hot dog cart full of ipad 2's down to the austin convention center. (and bring hot dogs?) #sxsw"
"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,Positive emotion,"at #sxsw, apple schools the marketing experts via &lt;&lt; true. love or loathe them, no one does marketing like them."
#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google {link},Google,Positive emotion,#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google
"@mention i know this is a premature tweet, but i'd love to see pics of the apple pop up store at #sxsw :)",Apple,Positive emotion,"i know this is a premature tweet, but i'd love to see pics of the apple pop up store at #sxsw :)"
"Queueing for ipads instead of partying. Honestly, geeks, get a grip! RT @mention The iPad 2 Takes Over #SXSW [VIDEO] - {link}",,No emotion toward brand or product,"queueing for ipads instead of partying. honestly, geeks, get a grip! rt the ipad 2 takes over #sxsw [video] -"
@mention Sweet 8-bit pic. Are you an artist? www.zaggle.org is having an #art contest for our #iPhone app Check it out We'll be at #SXSW,,No emotion toward brand or product,sweet 8-bit pic. are you an artist? is having an #art contest for our #iphone app check it out we'll be at #sxsw
At Protect your privacy like it's 2011 @mention party w/ @mention &amp; @mention #sxsw,,No emotion toward brand or product,at protect your privacy like it's 2011 party w/ &amp; #sxsw
@mention are you around #sxsw? Need a US sim for my iphone 3GS for the next 10. Wanna bring one in? #please,,No emotion toward brand or product,are you around #sxsw? need a us sim for my iphone 3gs for the next 10. wanna bring one in? #please
There's a free 22-song sampler available for download on iTunes of artists playing at #SXSW - check it out here {link} #music,,No emotion toward brand or product,there's a free 22-song sampler available for download on itunes of artists playing at #sxsw - check it out here #music
Mike Tyson punchout today....feels like 1985 just with iPhone and facial tattoo  #sxsw time machine @mention  {link},,No emotion toward brand or product,mike tyson punchout today....feels like 1985 just with iphone and facial tattoo #sxsw time machine
"SXSW: Mint Talks Mobile App Development Challenges, Teases New iPad App {link} #SXSW #mobile",,No emotion toward brand or product,"sxsw: mint talks mobile app development challenges, teases new ipad app #sxsw #mobile"
"#SXSW protip: if your iPhone keeps saying it has no internet connection but you have a good signal, turn off 3G. Edge works perfectly.",,No emotion toward brand or product,"#sxsw protip: if your iphone keeps saying it has no internet connection but you have a good signal, turn off 3g. edge works perfectly."
Context is everything: Hollrback rolls out Android app on eve of #SXSW | @mention {link},,No emotion toward brand or product,context is everything: hollrback rolls out android app on eve of #sxsw |
Interesting. Google will launch circles later today where context is added to search #sxsw {link},,No emotion toward brand or product,interesting. google will launch circles later today where context is added to search #sxsw
@mention Thanks re: #SXSW android app. checking it out {link},Android App,Positive emotion,thanks re: #sxsw android app. checking it out
It is never more apparent than at #sxsw how nice it would be if apple made stuff w/ removable batteries. #alwayshavingtoplugin #gsdm,Apple,Negative emotion,it is never more apparent than at #sxsw how nice it would be if apple made stuff w/ removable batteries. #alwayshavingtoplugin #gsdm
the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,iPad or iPhone App,Positive emotion,the #sxsw app on the iphone is live. rsvp for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore
This just in: @mention to release new #socialmedia tool at #sxsw - {link},,No emotion toward brand or product,this just in: to release new #socialmedia tool at #sxsw -
#sxsw Haralambous &quot;iPhone is 1% of Africa market&quot;,,No emotion toward brand or product,#sxsw haralambous &quot;iphone is 1% of africa market&quot;
@mention to open temporary store at SXSW {link} They should use @mention too #sxsw,,No emotion toward brand or product,to open temporary store at sxsw they should use too #sxsw
Google Will Connect the Digital &amp; Physical Worlds Through Mobile -{link} #sxsw,,No emotion toward brand or product,google will connect the digital &amp; physical worlds through mobile - #sxsw
"In light of #SXSW &amp; #iPad2 launch, #Tech cannot forget #quake victims in #Japan. Do good tech: #Google #peoplefinder. {link}",,No emotion toward brand or product,"in light of #sxsw &amp; #ipad2 launch, #tech cannot forget #quake victims in #japan. do good tech: #google #peoplefinder."
My pen just ran out of ink. Maybe it's a sign to go buy an iPad. #SXSW @mention,,No emotion toward brand or product,my pen just ran out of ink. maybe it's a sign to go buy an ipad. #sxsw
"*Spark selected as a finalist in Team Android Choice awards! If you're in Austin 3/13, please come &amp; support {link} #sxsw",Android,Positive emotion,"*spark selected as a finalist in team android choice awards! if you're in austin 3/13, please come &amp; support #sxsw"
Not a fan of a new #sxsw trend - audience sharing opinions via holding up an iPad. Not here to listen to you. #annoying,iPad,Negative emotion,not a fan of a new #sxsw trend - audience sharing opinions via holding up an ipad. not here to listen to you. #annoying
@mention We can offer an apple and some tinfoil. #sxsw?,,No emotion toward brand or product,we can offer an apple and some tinfoil. #sxsw?
@mention I used to think that and then they started making great apps. Official #SXSW app on iPad blows the other versions (and site) away.,iPad or iPhone App,Positive emotion,i used to think that and then they started making great apps. official #sxsw app on ipad blows the other versions (and site) away.
"[TOP STORY] At #SXSW, Apple schools the marketing experts: Thousands in town to demonstrate their social mar... {link} #sxswi",Apple,Positive emotion,"[top story] at #sxsw, apple schools the marketing experts: thousands in town to demonstrate their social mar... #sxswi"
Cab ride from hell to get to Apple store at mall. They were sold out. Getting dinner then have to figure how how to get back to hotel. #sxsw,Apple,Negative emotion,cab ride from hell to get to apple store at mall. they were sold out. getting dinner then have to figure how how to get back to hotel. #sxsw
How about we...chase sweet &amp; salty w/sweet tea vodka @mention the Google party? #SXSW (@mention GSD&amp;M) [pic]: {link},,No emotion toward brand or product,how about we...chase sweet &amp; salty w/sweet tea vodka the google party? #sxsw ( gsd&amp;m) [pic]:
"Now: Poked, Liked and Re-tweeted - a Google Love Story - Alisa (iCrossing). #sxsw #futurefifteen",,No emotion toward brand or product,"now: poked, liked and re-tweeted - a google love story - alisa (icrossing). #sxsw #futurefifteen"
"RT @mention Public Service Announcement: The @mention Grill is amazing! Drinks and food for free, great company, and zazzle ipad cases! #SXSW",,No emotion toward brand or product,"public service announcement: the grill is amazing! drinks and food for free, great company, and zazzle ipad cases! #sxsw"
I17: Symphony of Destruction {link} [codes valid: 8:00-11:59:59p 03/12/11] #infektd #sxsw #zomb,,No emotion toward brand or product,i17: symphony of destruction [codes valid: 8:00-11:59:59p 03/12/11] #infektd #sxsw #zomb
"@mention Totally! I mean, the number of companies that seemed to be offering the same thing at #sxsw was sad. Apple beat you, give up guys.",Apple,Positive emotion,"totally! i mean, the number of companies that seemed to be offering the same thing at #sxsw was sad. apple beat you, give up guys."
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw (via @mention,,No emotion toward brand or product,marissa mayer: google will connect the digital &amp; physical worlds through mobile - #sxsw (via
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,must have #sxsw app! rt lovely review from forbes for our sxsw ipad app holler gram -
RT @mention &quot;Everyone here already has one.&quot; is not anti-theft protection when you leave your laptop or iPad to go get your latte. #sxsw @mention,,No emotion toward brand or product,&quot;everyone here already has one.&quot; is not anti-theft protection when you leave your laptop or ipad to go get your latte. #sxsw
Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB CC. @mention @mention,,No emotion toward brand or product,apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch bit.ly/g03mzb cc.
Any #Google fans in town for #SXSW? Stop by the Austin GTUG meeting Wednesday the 7th at 7:00pm. map link: {link},,No emotion toward brand or product,any #google fans in town for #sxsw? stop by the austin gtug meeting wednesday the 7th at 7:00pm. map link:
"Big night: Come party down with @mention and Google tonight at #sxsw: {link} Bands, food, art, interactive maps! cc: @mention",Google,Positive emotion,"big night: come party down with and google tonight at #sxsw: bands, food, art, interactive maps! cc:"
"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Apple,Negative emotion,"just launched the pop-up apple store at #sxsw. it's our &quot;vintage&quot; store format: mostly ipods and snarky employees. ah, the good old days."
On my way to the Apple Store to upgrade my pager. {link} #SXSW,,No emotion toward brand or product,on my way to the apple store to upgrade my pager. #sxsw
RT @mention Smart company. RT @mention It's not a rumor: Apple opening up a temporary store in downtown Austin for #SXSW &amp;iPad 2 launch bit.ly/g03MZB,Apple,Positive emotion,smart company. rt it's not a rumor: apple opening up a temporary store in downtown austin for #sxsw &amp;ipad 2 launch bit.ly/g03mzb
"RT @mention Google's Marissa Mayer on the location-based 'fast, fun and future' via @mention {link} #sxswi #sxsw",,No emotion toward brand or product,"google's marissa mayer on the location-based 'fast, fun and future' via #sxswi #sxsw"
"Hot-spot! If only @mention data speed could keep up RT @mention Also, thanks to Apple for releasing iOS 4.3 just in time for #SXSW",Apple,Positive emotion,"hot-spot! if only data speed could keep up rt also, thanks to apple for releasing ios 4.3 just in time for #sxsw"
Sitting on the ground waiting for my iPad at the Austin #apple popup store at #SXSW. What a geek I am.  {link},iPad,Positive emotion,sitting on the ground waiting for my ipad at the austin #apple popup store at #sxsw. what a geek i am.
The lineup at the #sxsw Apple pop up store.  {link},,No emotion toward brand or product,the lineup at the #sxsw apple pop up store.
Going to #SXSW? Sign up for Filmaster iPhone app with code &quot;SXSW&quot; to get a cool t-shirt on site: {link},,No emotion toward brand or product,going to #sxsw? sign up for filmaster iphone app with code &quot;sxsw&quot; to get a cool t-shirt on site:
"Arriving in the US on Wednesday for #sxsw, will be looking for a MicroSIM for using data in my iPhone - anyone know what my options are?",,No emotion toward brand or product,"arriving in the us on wednesday for #sxsw, will be looking for a microsim for using data in my iphone - anyone know what my options are?"
&quot;She's the iPad DJ working the Etsy party.&quot; #realtalk #sxsw,,No emotion toward brand or product,&quot;she's the ipad dj working the etsy party.&quot; #realtalk #sxsw
"Rolling down Congress past the Apple popup store for #SXSW (@mention Social Shuttle (Austin), from Social Media Club) [pic]: {link}",,No emotion toward brand or product,"rolling down congress past the apple popup store for #sxsw ( social shuttle (austin), from social media club) [pic]:"
I'm insanely jealous of everyone with an iPad here at #SXSW. Seems like a great way to interact with the panels. ... next year?? :P,iPad,Positive emotion,i'm insanely jealous of everyone with an ipad here at #sxsw. seems like a great way to interact with the panels. ... next year?? :p
Complete Android Guide (print) on sale at #sxsw bookstore today: $15. Include 99-cent upgrade to 2.4/3.0-ready ebook. Signing at 4:30!,,No emotion toward brand or product,complete android guide (print) on sale at #sxsw bookstore today: $15. include 99-cent upgrade to 2.4/3.0-ready ebook. signing at 4:30!
"Your Mom Has an iPad: Designing for Boomers at SXSW.
{link} #SXSW",,No emotion toward brand or product,your mom has an ipad: designing for boomers at sxsw. #sxsw
Will Google reveal a new social network called Circles? #Google #Facebook #Twitter #SXSW {link} via @mention,,No emotion toward brand or product,will google reveal a new social network called circles? #google #facebook #twitter #sxsw via
"#tech Apple saves #SXSW, set to open pop-up store {link}",,No emotion toward brand or product,"#tech apple saves #sxsw, set to open pop-up store"
RT @mention RT @mention Google launches people finder service after Japan earthquake / tsunami {link} [Tnooz] #WSsxsw #sxsw #scrm,,No emotion toward brand or product,rt google launches people finder service after japan earthquake / tsunami [tnooz] #wssxsw #sxsw #scrm
Check out Coyne PR updates from #sxsw {link} via @mention,,No emotion toward brand or product,check out coyne pr updates from #sxsw via
@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link},iPad or iPhone App,Positive emotion,#sxsw don't forget to plan your schedule. plus our free iphone app
"@mention thanks for the RT, iPad 2 giveaway details to come!  #SXSW #sxswi",,No emotion toward brand or product,"thanks for the rt, ipad 2 giveaway details to come! #sxsw #sxswi"
"���@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw�۝ 

Something to keep watch",,No emotion toward brand or product,"��� google to launch major new social network called circles, possibly today #sxsw�۝ something to keep watch"
RT @mention just a tip for @mention iphone users. turn down your screen brightness (way down) to conserve battery power. huge difference! #sxsw,,No emotion toward brand or product,just a tip for iphone users. turn down your screen brightness (way down) to conserve battery power. huge difference! #sxsw
@mention Hey! Come by the Fast Company Grille if you're hungry! Mention #zazzlesxsw and get a customizable iPhone case too! #sxsw,,No emotion toward brand or product,hey! come by the fast company grille if you're hungry! mention #zazzlesxsw and get a customizable iphone case too! #sxsw
"You'll have to wait 4-5 weeks for an iPad 2, but not at the #AppleATXdt pop-up! Shipments daily (via @mention #SXSW",iPad,Negative emotion,"you'll have to wait 4-5 weeks for an ipad 2, but not at the #appleatxdt pop-up! shipments daily (via #sxsw"
Google has been collecting data on the types of requests they've been receiving from governments globally - #privacybootcamp #sxsw,,No emotion toward brand or product,google has been collecting data on the types of requests they've been receiving from governments globally - #privacybootcamp #sxsw
I won't lie - I've had a chance to watch people actually using the iPad at #sxsw and it makes me want one. :-/,iPad,Positive emotion,i won't lie - i've had a chance to watch people actually using the ipad at #sxsw and it makes me want one. :-/
Challenge: Rethink Reading! #touchingstories #iPad and/or #tablet #SXSW,,No emotion toward brand or product,challenge: rethink reading! #touchingstories #ipad and/or #tablet #sxsw
My ipad 2 vs Android panel starts at 330 at Radisson. Bloody Mary starts now! #SXSW,,No emotion toward brand or product,my ipad 2 vs android panel starts at 330 at radisson. bloody mary starts now! #sxsw
what omfg means please? {link} Webber iPad #sxsw Dionne Warwick,,No emotion toward brand or product,what omfg means please? webber ipad #sxsw dionne warwick
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,khoi vinh ( says conde nast's headlong rush into ipad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw
Mr Heavenly (aka the band w/ Michael Cera) ready to rock the Bat Bar at #sxsw. iPhone cameras de rigeur.,iPhone,Positive emotion,mr heavenly (aka the band w/ michael cera) ready to rock the bat bar at #sxsw. iphone cameras de rigeur.
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,"know about ? awesome ipad/iphone app that you'll likely appreciate for its design. also, they're giving free ts at #sxsw"
"RT @mention @mention is talking about how mobile phones, Google Earth, FB is empowering people to fight back against  dictators... #SXSW",,No emotion toward brand or product,"is talking about how mobile phones, google earth, fb is empowering people to fight back against dictators... #sxsw"
Google To Preview Social Networking Platform At #SXSW Conference? {link},,No emotion toward brand or product,google to preview social networking platform at #sxsw conference?
Google's #geosocial Offers platform goes live at #SXSW {link},,No emotion toward brand or product,google's #geosocial offers platform goes live at #sxsw
Guy gets tattoo at SXSW so he could win a free iPad2 {link} #sxsw #tattoo #ipad #internet,,No emotion toward brand or product,guy gets tattoo at sxsw so he could win a free ipad2 #sxsw #tattoo #ipad #internet
"In line for the Google and Bing pagerank session. Hope there's a smack down! #sxsw (@mention Hilton, Salon J w/ 44 others) {link}",,No emotion toward brand or product,"in line for the google and bing pagerank session. hope there's a smack down! #sxsw ( hilton, salon j w/ 44 others)"
@mention Not only at Cedar Street Courtyard but also at Apple Store #SXSW {link} from a small fan :-),,No emotion toward brand or product,not only at cedar street courtyard but also at apple store #sxsw from a small fan :-)
Egads guys:get ahold of yourselves.Seems like a lot of men in BallroomD have a crush on @mention or was your ?really about Google?#SXSW,,No emotion toward brand or product,egads guys:get ahold of yourselves.seems like a lot of men in ballroomd have a crush on or was your ?really about google?#sxsw
"RT @mention At #SXSW Social Hackathon session with Google, Bing, Webtrends and Chzbrgr. Going to figure out how to do this in Mpls/St Paul #bolinsxsw",,No emotion toward brand or product,"at #sxsw social hackathon session with google, bing, webtrends and chzbrgr. going to figure out how to do this in mpls/st paul #bolinsxsw"
The #SXSW Apple &quot;pop-up&quot; store was nuts. Was still packed at 11:30. {link},Apple,No emotion toward brand or product,the #sxsw apple &quot;pop-up&quot; store was nuts. was still packed at 11:30.
Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,Positive emotion,overheard at #sxsw &quot;the ipad is a relaxing computer&quot;: agreed. #ipad #apple
I38: Can I Play With Madness {link} [codes valid: 4:00-7:59:59p 03/14/11] #infektd #sxsw #zomb,,No emotion toward brand or product,i38: can i play with madness [codes valid: 4:00-7:59:59p 03/14/11] #infektd #sxsw #zomb
Strange to think that last year there was no iPad and the IE9 preview was just released. #sxsw,,No emotion toward brand or product,strange to think that last year there was no ipad and the ie9 preview was just released. #sxsw
Who else is excited for #SXSW and the possibility of Google Circles? Is anybody in Austin who can give us an update? $GOOG,Other Google product or service,Positive emotion,who else is excited for #sxsw and the possibility of google circles? is anybody in austin who can give us an update? $goog
"The cult of Apple: emotional responses, experiences, magical, works of art, control of the ecosystem. #SXSW #technopriest",,No emotion toward brand or product,"the cult of apple: emotional responses, experiences, magical, works of art, control of the ecosystem. #sxsw #technopriest"
Woah.  Dude at #sxsw gets branded tattoo in exchange for iPad.  No really. {link} @mention,,No emotion toward brand or product,woah. dude at #sxsw gets branded tattoo in exchange for ipad. no really.
Success! Blah panel but found an open outlet to charge up the old iPad. #SxSW #fb,,No emotion toward brand or product,success! blah panel but found an open outlet to charge up the old ipad. #sxsw #fb
Apple set to open popup shop in core of SXSW action {link} #SXSW #Apple #ipad #retail,Apple,Positive emotion,apple set to open popup shop in core of sxsw action #sxsw #apple #ipad #retail
#SXSW learning how Google is about to get all &quot;Contextual&quot; with our &quot;Discovery&quot;... (@mention Austin Convention Center) {link},,No emotion toward brand or product,#sxsw learning how google is about to get all &quot;contextual&quot; with our &quot;discovery&quot;... ( austin convention center)
#SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link},iPad,Negative emotion,#sxsw 2011: novelty of ipad news apps fades fast among digital delegates
New social network may debut at #SXSW Google Circles {link} #EatDrinkTweet  Not done with you yet!,Other Google product or service,Positive emotion,new social network may debut at #sxsw google circles #eatdrinktweet not done with you yet!
Strong rumours abt Google unveiling a new social network called 'Circles' at  #sxsw  Does look interesting: {link},Google,Positive emotion,strong rumours abt google unveiling a new social network called 'circles' at #sxsw does look interesting:
Z27: I Am the Law {link} [codes valid: 4:00-7:59:59p 03/13/11] #infektd #sxsw #zlf,,No emotion toward brand or product,z27: i am the law [codes valid: 4:00-7:59:59p 03/13/11] #infektd #sxsw #zlf
Already had my first Google Circle search result. {link} cc @mention @mention #sxsw,Other Google product or service,Positive emotion,already had my first google circle search result. cc #sxsw
RT @mention I'm so happy this exist! Going to try and do the whole #sxsw trip w/o a laptop. iPhone &amp; iPad only.  {link},,No emotion toward brand or product,i'm so happy this exist! going to try and do the whole #sxsw trip w/o a laptop. iphone &amp; ipad only.
"Days closer to becoming an owner of an iPad 2. So so so so stoked.
Only thing getting me through finals and not being at #SXSW",iPad,Positive emotion,days closer to becoming an owner of an ipad 2. so so so so stoked. only thing getting me through finals and not being at #sxsw
"RT @mention So, are you a kickass #iPhone developer? Are you at #SxSW. Want to do something cool? Follow me and shoot me a note.",iPhone,Positive emotion,"so, are you a kickass #iphone developer? are you at #sxsw. want to do something cool? follow me and shoot me a note."
��� GO BEYOND BORDERS! ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,��� go beyond borders! ��_ ��_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
So true-and rare! RT @mention Have yet to see someone with PC (Dell or otherwise) at SXSW - all Apple MacBook Pro or iPads...#sxsw,,No emotion toward brand or product,so true-and rare! rt have yet to see someone with pc (dell or otherwise) at sxsw - all apple macbook pro or ipads...#sxsw
"@mention Thanks! Good tidbit on the I/O conference, too, thanks for sharing that. #sxsw #google",,No emotion toward brand or product,"thanks! good tidbit on the i/o conference, too, thanks for sharing that. #sxsw #google"
".@mention There's an expectation of engagement on the Ipad that is both visual and social, of delving into the experience #SXSW #SXFL",iPad,Positive emotion,". there's an expectation of engagement on the ipad that is both visual and social, of delving into the experience #sxsw #sxfl"
"Before It Even Begins, Apple Wins��#SxSW, {link} -&gt; gonna get sum! via @mention",Apple,Positive emotion,"before it even begins, apple wins��#sxsw, -&gt; gonna get sum! via"
#Apple set to open popup shop in core of #SXSW action {link},Apple,Positive emotion,#apple set to open popup shop in core of #sxsw action
Unveiling the pop-up Apple store in the Scarborough Building! #SXSW  {link},Apple,Positive emotion,unveiling the pop-up apple store in the scarborough building! #sxsw
tried installing @mention on my iphone but it crashes every time i open it. #sxsw,iPad or iPhone App,Negative emotion,tried installing on my iphone but it crashes every time i open it. #sxsw
Look for me at sxsw. I'm the bearded guy in plaid on an iPhone.  #sxsw  #nfusion,,No emotion toward brand or product,look for me at sxsw. i'm the bearded guy in plaid on an iphone. #sxsw #nfusion
"RT @mention If u just think of all the people who have a stroke each yr, ur website needs to be iPad ready now. #POURsite #SXSW (boom)",,No emotion toward brand or product,"if u just think of all the people who have a stroke each yr, ur website needs to be ipad ready now. #poursite #sxsw (boom)"
Going to be awesome! RT @mention Gallery of original Daniel Johnston art going up at tomorrow's #GSDM + #Google industry party.  #sxsw,,No emotion toward brand or product,going to be awesome! rt gallery of original daniel johnston art going up at tomorrow's #gsdm + #google industry party. #sxsw
Anyone know of iPhone developers that will be attending #sxsw?  Please let me know. I have someone that would like to chat with you!,,No emotion toward brand or product,anyone know of iphone developers that will be attending #sxsw? please let me know. i have someone that would like to chat with you!
"My row this morning two people hand writing notes, one person on a Blackberry and me on a #pc - proof Apple isn't a monopoly at #sxsw",Apple,Negative emotion,"my row this morning two people hand writing notes, one person on a blackberry and me on a #pc - proof apple isn't a monopoly at #sxsw"
���@mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw�۝,Android App,Positive emotion,��� yes! gowalla wins best andoid app at the team android choice awards. thanks all! #sxsw�۝
I wanna know too RT @mention One of our producers is going to #SXSW. What (hopefully free) #iPhone apps should she DL?,iPad or iPhone App,Positive emotion,i wanna know too rt one of our producers is going to #sxsw. what (hopefully free) #iphone apps should she dl?
���@mention The new Whrrl app is now live in the iPhone app store AND Android marketplace. Get it while it's hot! (Just in time for #SXSW!)�۝,iPad or iPhone App,Positive emotion,��� the new whrrl app is now live in the iphone app store and android marketplace. get it while it's hot! (just in time for #sxsw!)�۝
RT @mention Apple sets up temporary Austin store to serve the hordes of iPad 2 purchasers at #sxsw {link},,No emotion toward brand or product,apple sets up temporary austin store to serve the hordes of ipad 2 purchasers at #sxsw
loving the new iphone #app suggestions coming from @mention #SXSW,iPad or iPhone App,Positive emotion,loving the new iphone #app suggestions coming from #sxsw
RT @mention Great #longform panel. @mention much web content geared toward workplace reading. IPad/Kindle changed that. #sxsw  #jmc322,,No emotion toward brand or product,great #longform panel. much web content geared toward workplace reading. ipad/kindle changed that. #sxsw #jmc322
